name,slug,description,address,city_id,latitude,longitude,phone,email,website,logo_url,cover_image_url,membership_price_from,membership_price_to,currency,opening_hours,is_featured,featured_until,member_count,member_count_source,member_count_verified,member_count_public,member_count_last_updated,rating,review_count,years_in_business,source,specialty_slug,specialty_uuid,specialties_json
Olympia Movement,olympia-movement,,"Iacovou Patatsou, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799319223,,,,,,,,,False,,,,False,True,,5.0,17,,Google Maps Scrape,,,[]
Andreas Zachariou Holistic Sport Clinic,andreas-zachariou-holistic-sport-clinic,,"Eleftherias 84 Larnaca, Aradippou, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35770003400,,http://www.andreaszachariou.com/,,,,,,,False,,,,False,True,,4.9,95,,Google Maps Scrape,,,[]
Gymnastics Hall Larnaca,gymnastics-hall-larnaca,,"Iacovou Patatsou 29, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,,,,,,,,,,False,,,,False,True,,4.9,17,,Google Maps Scrape,,,[]
C Larnaca Red Box,c-larnaca-red-box,,"Dodekanisou 2, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799681659,,,,,,,,,False,,,,False,True,,5.0,28,,Google Maps Scrape,,,[]
Outdoor Calisthenics Workout Spot,outdoor-calisthenics-workout-spot,,"Piale Pasa 15, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,,,,,,,,,,False,,,,False,True,,4.9,13,,Google Maps Scrape,,,[]
Cyprus Top Team CttMma Kickboxing MuaythaiBjj Fitness Gym,cyprus-top-team-cttmma-kickboxing-muaythaibjj-fitness-gym,,"Ivikou 52, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796548779,,,,,,,,,False,,,,False,True,,5.0,54,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Elit3 Fitness & Nutrition,elit3-fitness-nutrition,,"Stadiou 116, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724253231,,,,,,,,,False,,,,False,True,,4.9,27,,Google Maps Scrape,,,[]
The Big Gym Of Functional Training And Yoga,the-big-gym-of-functional-training-and-yoga,,"Georgiou & Katoli 1, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,,,http://3stepsbeyond.de/gym,,,,,,,False,,,,False,True,,5.0,13,,Google Maps Scrape,,,[]
Diaplasis Premium Fitness,diaplasis-premium-fitness,,"WJJF+645 Agioi Anargyroi, Spyrou Kyprianou 86, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724663878,,,,,,,,,False,,,,False,True,,4.5,31,,Google Maps Scrape,,,[]
Samtsihara Fight System Global Academy,samtsihara-fight-system-global-academy,,"WJGM+8GX, Pavlou Valdaseridi, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,,,,,,,,,,False,,,,False,True,,5.0,437,,Google Maps Scrape,,,[]
ProFit Center,profit-center,,"Αυστραλίας 2-6046, Aradippou, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796268420,,,,,,,,,False,,,,False,True,,4.3,44,,Google Maps Scrape,,,[]
Onyx Boutique Gym,onyx-boutique-gym,,"Agion Anargiron 40, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,,,,,,,,,,False,,,,False,True,,5.0,11,,Google Maps Scrape,,,[]
The Big Gym Of Muay Thai And Fitness Larnaca,the-big-gym-of-muay-thai-and-fitness-larnaca,,"Faneromenis 51-53, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35795732382,,http://www.thebiggymcy.com/,,,,,,,False,,,,False,True,,4.8,38,,Google Maps Scrape,mma,7a0ab816-372c-410c-a373-9e7794cac9e6,"[""7a0ab816-372c-410c-a373-9e7794cac9e6""]"
Arise Active,arise-active,,"Acropoleos Avenue 23, Aradippou, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35770004545,,http://www.ariseactive.eu/,,,,,,,False,,,,False,True,,4.5,157,,Google Maps Scrape,,,[]
Legacy - Chris Antoniou Training,legacy-chris-antoniou-training,,"Rafael Santi 28, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35777777756,,,,,,,,,False,,,,False,True,,5.0,84,,Google Maps Scrape,,,[]
86Seven Fitness Boutique,86seven-fitness-boutique,,"Pandoras 37, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799250087,,,,,,,,,False,,,,False,True,,4.8,27,,Google Maps Scrape,,,[]
Acceptus Gym,acceptus-gym,,"Odyssea Androutsou, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724660400,,http://www.acceptus.life/,,,,,,,False,,,,False,True,,4.7,37,,Google Maps Scrape,,,[]
Ironsky Fitness  Group & Personal Training In Larnaca,ironsky-fitness-group-personal-training-in-larnaca,,"Old GSZ Stadium 13, Stadiou, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799850540,,http://www.ironsky-fitness.com/,,,,,,,False,,,,False,True,,4.9,76,,Google Maps Scrape,,,[]
Reflex Gym Larnaca,reflex-gym-larnaca,,"16-18, Inomenon Ethnon 6042-1st floor, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724632204,,http://www.reflexgym.com/,,,,,,,False,,,,False,True,,4.8,42,,Google Maps Scrape,,,[]
Getfitgym Elite,getfitgym-elite,,"Spyrou Kyprianou 80-90, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724250990,,https://www.facebook.com/p/Getfitgym-Elite-100061921435966/,,,,,,,False,,,,False,True,,4.3,10,,Google Maps Scrape,,,[]
Trojans Gym,trojans-gym,,"Iacovou Patatsou, Aradippou, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796524446,,https://www.facebook.com/pages/Trojans-Gym-Fight-Club/36071539016?sk=info,,,,,,,False,,,,False,True,,5.0,32,,Google Maps Scrape,,,[]
Athletic Fitness Center,athletic-fitness-center,,"WJ9F+W8C, Mouson, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,,,https://www.facebook.com/ArtemisFani,,,,,,,False,,,,False,True,,5.0,12,,Google Maps Scrape,,,[]
Boxing Muscle Personal Boxing & Fitness Training Larnaca,boxing-muscle-personal-boxing-fitness-training-larnaca,,"Ymittou, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796076585,,https://instagram.com/boxingmuscleofficial,,,,,,,False,,,,False,True,,5.0,16,,Google Maps Scrape,personal-trainer,1b9ecd3b-fe53-4432-9dc0-978f90eaacb3,"[""1b9ecd3b-fe53-4432-9dc0-978f90eaacb3""]"
Expose Fitness By Andreas Cosma,expose-fitness-by-andreas-cosma,,"Pentadaktylou 57, katastima 2, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799780343,,https://www.facebook.com/ExposeFitnessGym,,,,,,,False,,,,False,True,,5.0,37,,Google Maps Scrape,,,[]
Fivestar Sportcenter,fivestar-sportcenter,,"Faneromenis 225, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35770008088,,https://www.facebook.com/fivestarsportcenter/,,,,,,,False,,,,False,True,,4.6,64,,Google Maps Scrape,,,[]
Temple Fitness,temple-fitness,,"Spyrou Kyprianou 86, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724661060,,https://www.facebook.com/templefitnesscyprus/,,,,,,,False,,,,False,True,,4.0,135,,Google Maps Scrape,,,[]
Delta Fitness Studio,delta-fitness-studio,,"Lapithou 20, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35796437905,,https://instagram.com/deltafitnessstudio?igshid=YmMyMTA2M2Y=,,,,,,,False,,,,False,True,,4.9,34,,Google Maps Scrape,,,[]
Rack Gym Ltd,rack-gym-ltd,,"Ivikou 52, Aradippou, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799877905,,https://www.instagram.com/rack_gym_/profilecard/?igsh=MWNsMzZ2cGw1YWJwaA==,,,,,,,False,,,,False,True,,5.0,70,,Google Maps Scrape,,,[]
Totalfit,totalfit,,"1, Friedrich Nietzsche 6028, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724653937,,https://www.facebook.com/TotalFitLarnaca/,,,,,,,False,,,,False,True,,4.2,84,,Google Maps Scrape,,,[]
Aquagym,aquagym,,"WJ92+G7X, Charalambou Patsidi, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724400500,,https://www.facebook.com/aquagymlarnaca/,,,,,,,False,,,,False,True,,4.7,61,,Google Maps Scrape,,,[]
Twp-Train With Passion,twp-train-with-passion,,"Carrefour Larnaca, Spyrou Kyprianou 23, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35799593570,,https://www.facebook.com/TWP-Fitness-hall-Train-with-Passion-2255614854651676,,,,,,,False,,,,False,True,,4.8,89,,Google Maps Scrape,,,[]
ItS Time Fitness Center,its-time-fitness-center,,"Artemidos 3, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724256600,,https://www.facebook.com/ItsTimeGym,,,,,,,False,,,,False,True,,4.7,135,,Google Maps Scrape,,,[]
Body Control Fitness Centre,body-control-fitness-centre,,"3 Nikou G, Nicou Dimitriou 6031, Larnaca, Cyprus",c2208ba4-aea9-4e22-b256-09177179763f,34.9167,33.6333,+35724252428,,https://www.facebook.com/BodyControlFitnessCentre/,,,,,,,False,,,,False,True,,4.8,43,,Google Maps Scrape,,,[]
